composer,title,npy_file_path,file_size,length_in_measures,sample_rate,use
Haydn,Symphony n88 2mov,Dataset/classifier/Haydn/Symphony n88 2mov.npy,178,114,,v
Haydn,Symphony n96 1mov ''Miracle'',Dataset/classifier/Haydn/Symphony n96 1mov ''Miracle''.npy,423,271,,
Haydn,Sonata n01 3mov XVI8,Dataset/classifier/Haydn/Nueva carpeta/Sonata n01 3mov XVI8.npy,29,19,,
Haydn,Sonata n59 1mov XVI49,Dataset/classifier/Haydn/Nueva carpeta/Sonata n59 1mov XVI49.npy,698,447,,
Haydn,Sonata n41 2mov XVI26,Dataset/classifier/Haydn/Nueva carpeta/Sonata n41 2mov XVI26.npy,200,128,,t
Haydn,Sonata n52 3mov XVI39,Dataset/classifier/Haydn/Nueva carpeta/Sonata n52 3mov XVI39.npy,378,242,,
Haydn,Sonata n10 1mov XVI1,Dataset/classifier/Haydn/Nueva carpeta/Sonata n10 1mov XVI1.npy,156,100,,
Haydn,Sonata n52 2mov XVI39,Dataset/classifier/Haydn/Nueva carpeta/Sonata n52 2mov XVI39.npy,132,85,,
Haydn,Sonata n49 2mov XVI36,Dataset/classifier/Haydn/Nueva carpeta/Sonata n49 2mov XVI36.npy,268,172,,
Haydn,Sonata n41 3mov XVI26,Dataset/classifier/Haydn/Nueva carpeta/Sonata n41 3mov XVI26.npy,82,53,,t
Haydn,Sonata n10 2mov XVI1,Dataset/classifier/Haydn/Nueva carpeta/Sonata n10 2mov XVI1.npy,54,35,,
Haydn,Sonata n54 2mov XVI40,Dataset/classifier/Haydn/Nueva carpeta/Sonata n54 2mov XVI40.npy,187,120,,
Haydn,Sonata n03 2mov XVI9,Dataset/classifier/Haydn/Nueva carpeta/Sonata n03 2mov XVI9.npy,225,144,,t
Haydn,Sonata n01 2mov XVI8,Dataset/classifier/Haydn/Nueva carpeta/Sonata n01 2mov XVI8.npy,51,33,,
Haydn,Sonata n42 2mov XVI27,Dataset/classifier/Haydn/Nueva carpeta/Sonata n42 2mov XVI27.npy,343,220,,
Haydn,Sonata n58 2mov XVI48,Dataset/classifier/Haydn/Nueva carpeta/Sonata n58 2mov XVI48.npy,459,294,,
Haydn,Sonata n42 3mov XVI27,Dataset/classifier/Haydn/Nueva carpeta/Sonata n42 3mov XVI27.npy,353,226,,t
Haydn,Sonata n29 2mov XVI45,Dataset/classifier/Haydn/Nueva carpeta/Sonata n29 2mov XVI45.npy,228,146,,
Haydn,Sonata n03 1mov XVI9,Dataset/classifier/Haydn/Nueva carpeta/Sonata n03 1mov XVI9.npy,131,84,,t
Haydn,Sonata n58 1mov XVI48,Dataset/classifier/Haydn/Nueva carpeta/Sonata n58 1mov XVI48.npy,251,161,,
Haydn,Sonata n49 3mov XVI36,Dataset/classifier/Haydn/Nueva carpeta/Sonata n49 3mov XVI36.npy,270,173,,
Haydn,Sonata n44 1mov XVI29,Dataset/classifier/Haydn/Nueva carpeta/Sonata n44 1mov XVI29.npy,281,180,,
Haydn,Sonata n29 1mov XVI45,Dataset/classifier/Haydn/Nueva carpeta/Sonata n29 1mov XVI45.npy,301,193,,
Haydn,Sonata n49 1mov XVI36,Dataset/classifier/Haydn/Nueva carpeta/Sonata n49 1mov XVI36.npy,304,195,,v
Haydn,Sonata n41 1mov XVI26,Dataset/classifier/Haydn/Nueva carpeta/Sonata n41 1mov XVI26.npy,264,169,,
Haydn,Sonata n48 3mov XVI35,Dataset/classifier/Haydn/Nueva carpeta/Sonata n48 3mov XVI35.npy,373,239,,
Haydn,Sonata n10 3mov XVI1,Dataset/classifier/Haydn/Nueva carpeta/Sonata n10 3mov XVI1.npy,197,126,,
Haydn,Sonata n01 4mov XVI8,Dataset/classifier/Haydn/Nueva carpeta/Sonata n01 4mov XVI8.npy,75,48,,
Haydn,Sonata n52 1mov XVI39,Dataset/classifier/Haydn/Nueva carpeta/Sonata n52 1mov XVI39.npy,272,174,,t
Haydn,Sonata n01 1mov XVI8,Dataset/classifier/Haydn/Nueva carpeta/Sonata n01 1mov XVI8.npy,140,90,,
Haydn,Sonata n59 3mov XVI49,Dataset/classifier/Haydn/Nueva carpeta/Sonata n59 3mov XVI49.npy,268,172,,
Haydn,Sonata n48 1mov XVI35,Dataset/classifier/Haydn/Nueva carpeta/Sonata n48 1mov XVI35.npy,250,160,,
Haydn,Sonata n02 1mov XVI7,Dataset/classifier/Haydn/Nueva carpeta/Sonata n02 1mov XVI7.npy,73,47,,t
Haydn,Sonata n29 3mov XVI45,Dataset/classifier/Haydn/Nueva carpeta/Sonata n29 3mov XVI45.npy,426,273,,
Haydn,Sonata n54 1mov XVI40,Dataset/classifier/Haydn/Nueva carpeta/Sonata n54 1mov XVI40.npy,311,199,,
Haydn,Sonata n42 1mov XVI27,Dataset/classifier/Haydn/Nueva carpeta/Sonata n42 1mov XVI27.npy,451,289,,
Haydn,Sonata n03 3mov XVI9,Dataset/classifier/Haydn/Nueva carpeta/Sonata n03 3mov XVI9.npy,76,49,,
Haydn,Sonata n44 3mov XVI29,Dataset/classifier/Haydn/Nueva carpeta/Sonata n44 3mov XVI29.npy,259,166,,
Mendelssohn,'Lieder ohne Worte' Book 2 op30 n3,Dataset/classifier/Mendelssohn/'Lieder ohne Worte' Book 2 op30 n3.npy,43,28,,t
Mendelssohn,Andante alla marcia,Dataset/classifier/Mendelssohn/Andante alla marcia.npy,112,72,,
Mendelssohn,Kinderstuck Opus.72 No.3,Dataset/classifier/Mendelssohn/Kinderstuck Opus.72 No.3.npy,57,37,,
Mendelssohn,Symphony op56 n3 1mov ''Scottish'',Dataset/classifier/Mendelssohn/Symphony op56 n3 1mov ''Scottish''.npy,1050,672,,t
Mendelssohn,Andante,Dataset/classifier/Mendelssohn/Andante.npy,76,49,,
Mendelssohn,Variations serieuses op54,Dataset/classifier/Mendelssohn/Variations serieuses op54.npy,625,400,,t
Mendelssohn,"Song without Words, Opus.67, No.2 and No.32","Dataset/classifier/Mendelssohn/Song without Words, Opus.67, No.2 and No.32.npy",89,57,,
Mendelssohn,Allegro Moderato,Dataset/classifier/Mendelssohn/Allegro Moderato.npy,72,46,,
Mendelssohn,Allegro Brillant for Piano 4-hands op92,Dataset/classifier/Mendelssohn/Allegro Brillant for Piano 4-hands op92.npy,679,435,,t
Mendelssohn,piano wedding march,Dataset/classifier/Mendelssohn/piano wedding march.npy,214,137,,t
Mendelssohn,Allegro n1,Dataset/classifier/Mendelssohn/Allegro n1.npy,311,199,,
Mendelssohn,Piano Concerto n1 in op25 3mov,Dataset/classifier/Mendelssohn/Piano Concerto n1 in op25 3mov.npy,442,283,,v
Mendelssohn,Midsummer Night Dream 06mov,Dataset/classifier/Mendelssohn/Midsummer Night Dream 06mov.npy,297,190,,
Mendelssohn,Prelude,Dataset/classifier/Mendelssohn/Prelude.npy,206,132,,t
Mendelssohn,Symphony op90 n4 2mov ''Italian'',Dataset/classifier/Mendelssohn/Symphony op90 n4 2mov ''Italian''.npy,161,103,,t
Mendelssohn,Kinderstuck Opus.72 No.4,Dataset/classifier/Mendelssohn/Kinderstuck Opus.72 No.4.npy,68,44,,
Mendelssohn,Ostinato,Dataset/classifier/Mendelssohn/Ostinato.npy,289,185,,t
Mendelssohn,Kinderstuck Opus.72 No.1,Dataset/classifier/Mendelssohn/Kinderstuck Opus.72 No.1.npy,70,45,,
Mendelssohn,Kinderstuck Opus.72 No.5,Dataset/classifier/Mendelssohn/Kinderstuck Opus.72 No.5.npy,103,66,,t
Mendelssohn,Prelude 2,Dataset/classifier/Mendelssohn/Prelude 2.npy,59,38,,
Mendelssohn,Kinderstuck Opus.72 No.6,Dataset/classifier/Mendelssohn/Kinderstuck Opus.72 No.6.npy,153,98,,t
Mendelssohn,Confidence Op.19 No.4,Dataset/classifier/Mendelssohn/Confidence Op.19 No.4.npy,48,31,,
Mendelssohn,Fantaisie and Fugue,Dataset/classifier/Mendelssohn/Fantaisie and Fugue.npy,165,106,,t
Mendelssohn,Allegro n2,Dataset/classifier/Mendelssohn/Allegro n2.npy,211,135,,
Mendelssohn,Songs Without Words op30 n1,Dataset/classifier/Mendelssohn/Songs Without Words op30 n1.npy,107,69,,t
Mendelssohn,Midsummer Night Dream 02mov Scherzo,Dataset/classifier/Mendelssohn/Midsummer Night Dream 02mov Scherzo.npy,603,386,,
Mendelssohn,Midsummer Night Dream 10mov ''Wedding march'',Dataset/classifier/Mendelssohn/Midsummer Night Dream 10mov ''Wedding march''.npy,293,188,,t
Mendelssohn,Symphony op56 n3 2mov ''Scottish'',Dataset/classifier/Mendelssohn/Symphony op56 n3 2mov ''Scottish''.npy,428,274,,
Mendelssohn,Midsummer Night Dream 04mov Song with Chorus,Dataset/classifier/Mendelssohn/Midsummer Night Dream 04mov Song with Chorus.npy,289,185,,t
Mendelssohn,Songs Without Words op62 n3,Dataset/classifier/Mendelssohn/Songs Without Words op62 n3.npy,78,50,,t
Mendelssohn,Organ Sonata n3,Dataset/classifier/Mendelssohn/Organ Sonata n3.npy,276,177,,t
Mendelssohn,Organ Sonata n6,Dataset/classifier/Mendelssohn/Organ Sonata n6.npy,497,318,,t
Mendelssohn,Midsummer Night Dream 01mov Overture,Dataset/classifier/Mendelssohn/Midsummer Night Dream 01mov Overture.npy,1073,687,,t
Mendelssohn,Midsummer Night Dream 09mov,Dataset/classifier/Mendelssohn/Midsummer Night Dream 09mov.npy,112,72,,
Mendelssohn,Kinderstuck Opus.72 No.2,Dataset/classifier/Mendelssohn/Kinderstuck Opus.72 No.2.npy,65,42,,t
Mendelssohn,Songs Without Words op62 n4,Dataset/classifier/Mendelssohn/Songs Without Words op62 n4.npy,61,39,,
Mendelssohn,Symphony op56 n3 3mov ''Scottish'',Dataset/classifier/Mendelssohn/Symphony op56 n3 3mov ''Scottish''.npy,237,152,,t
Mendelssohn,Symphony op107 n5 3mov ''Reformation'',Dataset/classifier/Mendelssohn/Symphony op107 n5 3mov ''Reformation''.npy,84,54,,
Mendelssohn,Midsummer Night Dream 08mov ''Nocturne'',Dataset/classifier/Mendelssohn/Midsummer Night Dream 08mov ''Nocturne''.npy,200,128,,t
Mendelssohn,Nachtspiel,Dataset/classifier/Mendelssohn/Nachtspiel.npy,215,138,,
Mendelssohn,Songs Without Words op62 n5,Dataset/classifier/Mendelssohn/Songs Without Words op62 n5.npy,93,60,,t
Mendelssohn,Prelude and Fugue n3,Dataset/classifier/Mendelssohn/Prelude and Fugue n3.npy,389,249,,
Mendelssohn,Prelude and Fugue n2,Dataset/classifier/Mendelssohn/Prelude and Fugue n2.npy,239,153,,t
Mendelssohn,Choral 4,Dataset/classifier/Mendelssohn/Choral 4.npy,50,32,,
Mendelssohn,Organ Sonata n5,Dataset/classifier/Mendelssohn/Organ Sonata n5.npy,348,223,,t
Mendelssohn,Symphony op90 n4 1mov ''Italian'',Dataset/classifier/Mendelssohn/Symphony op90 n4 1mov ''Italian''.npy,1203,770,,t
Mendelssohn,"One of the songs without words,-The Bees Wedding-","Dataset/classifier/Mendelssohn/One of the songs without words,-The Bees Wedding-.npy",86,55,,
Mendelssohn,Symphony op107 n5 1mov ''Reformation'',Dataset/classifier/Mendelssohn/Symphony op107 n5 1mov ''Reformation''.npy,64,41,,t
Mendelssohn,Symphony op90 n4 4mov ''Italian'',Dataset/classifier/Mendelssohn/Symphony op90 n4 4mov ''Italian''.npy,414,265,,t
Mendelssohn,Midsummer Night Dream 12mov ''Dance Of Clowns'',Dataset/classifier/Mendelssohn/Midsummer Night Dream 12mov ''Dance Of Clowns''.npy,162,104,,t
Mendelssohn,Violin Concerto op63,Dataset/classifier/Mendelssohn/Violin Concerto op63.npy,832,533,,v
Mendelssohn,Symphony op56 n3 4mov ''Scottish'',Dataset/classifier/Mendelssohn/Symphony op56 n3 4mov ''Scottish''.npy,768,492,,t
Mendelssohn,Midsummer Night Dream 03mov,Dataset/classifier/Mendelssohn/Midsummer Night Dream 03mov.npy,225,144,,
Mendelssohn,Songs Without Words op53 n5,Dataset/classifier/Mendelssohn/Songs Without Words op53 n5.npy,132,85,,t
Mendelssohn,Midsummer Night Dream 05mov,Dataset/classifier/Mendelssohn/Midsummer Night Dream 05mov.npy,31,20,,t
Mendelssohn,Midsummer Night Dream 14mov,Dataset/classifier/Mendelssohn/Midsummer Night Dream 14mov.npy,47,30,,t
Mendelssohn,Midsummer Night Dream 07mov,Dataset/classifier/Mendelssohn/Midsummer Night Dream 07mov.npy,262,168,,t
Mendelssohn,Midsummer Night Dream 11 mov,Dataset/classifier/Mendelssohn/Midsummer Night Dream 11 mov.npy,70,45,,t
Mendelssohn,Piano Concerto n1 in op25 1mov,Dataset/classifier/Mendelssohn/Piano Concerto n1 in op25 1mov.npy,426,273,,
Mendelssohn,Organ Sonata n2,Dataset/classifier/Mendelssohn/Organ Sonata n2.npy,384,246,,
Mendelssohn,Midsummer Night Dream 15mov,Dataset/classifier/Mendelssohn/Midsummer Night Dream 15mov.npy,342,219,,v
Paganini,Capriccio n09,Dataset/classifier/Paganini/Capriccio n09.npy,175,112,,
Paganini,Capriccio n07,Dataset/classifier/Paganini/Capriccio n07.npy,118,76,,
Paganini,Capriccio n13,Dataset/classifier/Paganini/Capriccio n13.npy,137,88,,
Paganini,Capriccio n10,Dataset/classifier/Paganini/Capriccio n10.npy,122,78,,
Paganini,Witches Dance,Dataset/classifier/Paganini/Witches Dance.npy,211,135,,
Paganini,Capriccio n17,Dataset/classifier/Paganini/Capriccio n17.npy,107,69,,
Paganini,Capriccio n12,Dataset/classifier/Paganini/Capriccio n12.npy,103,66,,
Paganini,Capriccio n02,Dataset/classifier/Paganini/Capriccio n02.npy,187,120,,
Paganini,Last Variations,Dataset/classifier/Paganini/Last Variations.npy,267,171,,
Paganini,La Campanella,Dataset/classifier/Paganini/La Campanella.npy,437,280,,
Paganini,Capriccio n20,Dataset/classifier/Paganini/Capriccio n20.npy,178,114,,
Paganini,Capriccio n16,Dataset/classifier/Paganini/Capriccio n16.npy,97,62,,
Paganini,Capriccio n01,Dataset/classifier/Paganini/Capriccio n01.npy,120,77,,
Paganini,Capriccio n19,Dataset/classifier/Paganini/Capriccio n19.npy,140,90,,
Paganini,Concerto for Violin  n1 op6 1mov,Dataset/classifier/Paganini/Concerto for Violin  n1 op6 1mov.npy,582,373,,
Paganini,Moto Perpetuo,Dataset/classifier/Paganini/Moto Perpetuo.npy,228,146,,
Paganini,Violin Concert n2,Dataset/classifier/Paganini/Violin Concert n2.npy,187,120,,
Paganini,Capriccio n23,Dataset/classifier/Paganini/Capriccio n23.npy,61,39,,
Paganini,Capriccio n24,Dataset/classifier/Paganini/Capriccio n24.npy,323,207,,
Paganini,Sonata Concertata for Violin and Guitar,Dataset/classifier/Paganini/Sonata Concertata for Violin and Guitar.npy,662,424,,
Paganini,Capriccio n08,Dataset/classifier/Paganini/Capriccio n08.npy,106,68,,
Bach,Bwv0806 English Suite n1 09mov ,Dataset/classifier/Bach/Bwv0806 English Suite n1 09mov .npy,118,76,,
Bach,Bwv1005 Violin Sonata n3 3mov Largo,Dataset/classifier/Bach/Bwv1005 Violin Sonata n3 3mov Largo.npy,32,21,,t
Bach,Piano version of Bachs two part inventions No.9,Dataset/classifier/Bach/Piano version of Bachs two part inventions No.9.npy,53,34,,
Bach,Bwv0996 Suite for Lute,Dataset/classifier/Bach/Bwv0996 Suite for Lute.npy,504,323,,
Bach,Bwv0937 Little Prelude n5,Dataset/classifier/Bach/Bwv0937 Little Prelude n5.npy,62,40,,
Bach,Bwv0540 Toccata and Fugue,Dataset/classifier/Bach/Bwv0540 Toccata and Fugue.npy,951,609,,
Bach,Piano version of Bachs two part inventions No.10,Dataset/classifier/Bach/Piano version of Bachs two part inventions No.10.npy,50,32,,
Bach,Bwv0525 Sonate en trio n1,Dataset/classifier/Bach/Bwv0525 Sonate en trio n1.npy,381,244,,t
Bach,Bwv0811 English Suite n6 4mov,Dataset/classifier/Bach/Bwv0811 English Suite n6 4mov.npy,75,48,,
Bach,Bwv0938 Little Prelude n6,Dataset/classifier/Bach/Bwv0938 Little Prelude n6.npy,150,96,,
Bach,Bwv0566 Prelude and Fugue,Dataset/classifier/Bach/Bwv0566 Prelude and Fugue.npy,361,231,,
Bach,Bwv0934 Little Prelude n2,Dataset/classifier/Bach/Bwv0934 Little Prelude n2.npy,125,80,,
Bach,Piano version of Bachs two part inventions No.4,Dataset/classifier/Bach/Piano version of Bachs two part inventions No.4.npy,81,52,,t
Bach,Bwv0535 Prelude and Fugue,Dataset/classifier/Bach/Bwv0535 Prelude and Fugue.npy,189,121,,
Bach,Bwv0563 Fantasie con imitation,Dataset/classifier/Bach/Bwv0563 Fantasie con imitation.npy,214,137,,
Bach,Bwv0811 English Suite n6 5mov,Dataset/classifier/Bach/Bwv0811 English Suite n6 5mov.npy,75,48,,
Bach,Bwv0582 Passacaglia and Fugue (Orchestral),Dataset/classifier/Bach/Bwv0582 Passacaglia and Fugue (Orchestral).npy,457,293,,t
Bach,Bwv0811 English Suite n6 6mov,Dataset/classifier/Bach/Bwv0811 English Suite n6 6mov.npy,106,68,,
Bach,Bwv0933 Little Prelude n1,Dataset/classifier/Bach/Bwv0933 Little Prelude n1.npy,50,32,,
Bach,Bwv0526 Sonate en trio n2,Dataset/classifier/Bach/Bwv0526 Sonate en trio n2.npy,468,300,,
Bach,Bwv0997 Partita for Lute 2mov,Dataset/classifier/Bach/Bwv0997 Partita for Lute 2mov.npy,245,157,,
Bach,Bwv1005 Violin Sonata n3 4mov Allegro,Dataset/classifier/Bach/Bwv1005 Violin Sonata n3 4mov Allegro.npy,318,204,,v
Bach,Bwv0998 Prelude Fugue Allegro for Lute 1mov,Dataset/classifier/Bach/Bwv0998 Prelude Fugue Allegro for Lute 1mov.npy,75,48,,
Bach,Bwv1014 Harpsicord and Violin Sonata 1mov,Dataset/classifier/Bach/Bwv1014 Harpsicord and Violin Sonata 1mov.npy,59,38,,
Bach,Bwv0811 English Suite n6 1mov,Dataset/classifier/Bach/Bwv0811 English Suite n6 1mov.npy,304,195,,
Bach,Bwv0967 Sonata,Dataset/classifier/Bach/Bwv0967 Sonata.npy,222,142,,
Bach,Bwv0560 Short Prelude and Fugue n8 (Spurious),Dataset/classifier/Bach/Bwv0560 Short Prelude and Fugue n8 (Spurious).npy,143,92,,t
Bach,Bwv0935 Little Prelude n3,Dataset/classifier/Bach/Bwv0935 Little Prelude n3.npy,150,96,,
Bach,Bwv0572 Fantasia,Dataset/classifier/Bach/Bwv0572 Fantasia.npy,622,398,,
Bach,Bwv0561 Fantasie and Fuga,Dataset/classifier/Bach/Bwv0561 Fantasie and Fuga.npy,248,159,,
Bach,Bwv0559 Short Prelude and Fugue n7 (Spurious),Dataset/classifier/Bach/Bwv0559 Short Prelude and Fugue n7 (Spurious).npy,109,70,,
Bach,Piano version of Bachs two part inventions No.14,Dataset/classifier/Bach/Piano version of Bachs two part inventions No.14.npy,31,20,,
Bach,Bwv0531 Prelude and Fugue,Dataset/classifier/Bach/Bwv0531 Prelude and Fugue.npy,179,115,,t
Bach,Bwv0811 English Suite n6 3mov,Dataset/classifier/Bach/Bwv0811 English Suite n6 3mov.npy,106,68,,
Bach,Bwv0816 French Suite n5,Dataset/classifier/Bach/Bwv0816 French Suite n5.npy,778,498,,
Bach,Piano version of Bachs two part inventions No.2,Dataset/classifier/Bach/Piano version of Bachs two part inventions No.2.npy,42,27,,t
Bach,Prelude and Fugue in D,Dataset/classifier/Bach/Prelude and Fugue in D.npy,512,328,,
Bach,Bwv1014 Harpsicord and Violin Sonata 2mov,Dataset/classifier/Bach/Bwv1014 Harpsicord and Violin Sonata 2mov.npy,223,143,,
Bach,Bwv0992 Capriccio,Dataset/classifier/Bach/Bwv0992 Capriccio.npy,387,248,,t
Bach,Bwv0554 Short Prelude and Fugue n2 (Spurious),Dataset/classifier/Bach/Bwv0554 Short Prelude and Fugue n2 (Spurious).npy,95,61,,
Bach,Bwv0806 English Suite n1 03mov ,Dataset/classifier/Bach/Bwv0806 English Suite n1 03mov .npy,68,44,,
Bach,Bwv0806 English Suite n1 07mov ,Dataset/classifier/Bach/Bwv0806 English Suite n1 07mov .npy,100,64,,
Bach,Bwv0998 Prelude Fugue Allegro for Lute 3mov,Dataset/classifier/Bach/Bwv0998 Prelude Fugue Allegro for Lute 3mov.npy,150,96,,
Bach,Bwv0806 English Suite n1 04mov ,Dataset/classifier/Bach/Bwv0806 English Suite n1 04mov .npy,81,52,,v
Bach,Piano version of Bachs two part inventions No.12,Dataset/classifier/Bach/Piano version of Bachs two part inventions No.12.npy,34,22,,
Bach,Bwv0997 Partita for Lute 1mov,Dataset/classifier/Bach/Bwv0997 Partita for Lute 1mov.npy,87,56,,
Bach,Bwv0806 English Suite n1 02mov ,Dataset/classifier/Bach/Bwv0806 English Suite n1 02mov .npy,106,68,,t
Bach,Bwv0557 Short Prelude and Fugue n5 (Spurious),Dataset/classifier/Bach/Bwv0557 Short Prelude and Fugue n5 (Spurious).npy,93,60,,
Bach,Bwv0527 Sonate en trio n3,Dataset/classifier/Bach/Bwv0527 Sonate en trio n3.npy,634,406,,t
Bach,Bwv0533 Prelude and Fugue,Dataset/classifier/Bach/Bwv0533 Prelude and Fugue.npy,107,69,,
Bach,Bwv0547 Prelude and Fugue,Dataset/classifier/Bach/Bwv0547 Prelude and Fugue.npy,251,161,,
Bach,AveMaria,Dataset/classifier/Bach/AveMaria.npy,64,41,,
Bach,Bwv0543 Prelude and Fugue,Dataset/classifier/Bach/Bwv0543 Prelude and Fugue.npy,320,205,,t
Bach,Bwv0549 Prelude and Fugue,Dataset/classifier/Bach/Bwv0549 Prelude and Fugue.npy,137,88,,
Bach,Bwv0551 Prelude and Fugue,Dataset/classifier/Bach/Bwv0551 Prelude and Fugue.npy,139,89,,
Bach,Bwv0537 Fantasia and Fugue,Dataset/classifier/Bach/Bwv0537 Fantasia and Fugue.npy,281,180,,t
